account_id,associate_id,origination_date,account_balance,is_migrated,days_delinquent,cured_flag,last_payment_date,delinquency_status
1,25,2025-07-29,422251,0,0,0,2025-03-10,Current
2,3,2025-06-12,434010,1,0,0,2024-11-05,Current
3,5,2022-03-31,311798,0,0,0,2025-01-31,Current
4,19,2024-10-09,381310,0,0,0,2022-10-20,Current
5,7,2022-08-23,228933,1,15,0,2022-11-30,Early
6,21,2023-08-01,147406,0,0,1,2023-06-02,Current
7,9,2025-12-17,361442,0,0,1,2024-12-19,Current
8,7,2022-07-10,490437,0,0,0,2024-01-01,Current
9,18,2022-09-02,357086,1,30,0,2023-05-27,Early
10,4,2023-12-17,53453,0,30,1,2023-11-03,Early
11,25,2025-08-21,152811,0,0,0,2025-02-27,Current
12,14,2024-11-13,104935,0,30,0,2023-06-14,Early
13,18,2024-01-31,434583,0,0,1,2024-03-27,Current
14,9,2025-12-20,224442,0,0,1,2025-01-17,Current
15,21,2022-02-01,320472,0,15,0,2024-08-13,Early
16,2,2025-07-29,65534,0,0,0,2022-03-24,Current
17,20,2025-03-28,397424,0,30,0,2025-06-26,Early
18,15,2023-07-24,86320,1,0,0,2024-05-17,Current
19,7,2022-03-10,99170,0,90,1,2025-03-18,60-90
20,12,2023-07-07,150546,0,0,0,2023-12-27,Current
21,8,2022-09-11,130201,1,15,0,2022-07-25,Early
22,15,2024-11-23,284473,0,60,0,2022-06-23,30-60
23,3,2025-03-10,320784,0,0,0,2022-09-01,Current
24,14,2022-10-23,281324,1,0,0,2025-10-14,Current
25,17,2023-08-29,211121,0,0,1,2024-05-20,Current
26,4,2023-08-01,448834,0,15,0,2024-06-11,Early
27,18,2023-04-13,283612,0,0,0,2022-11-30,Current
28,8,2022-02-26,237125,0,0,0,2023-04-07,Current
29,4,2024-08-03,445136,0,15,1,2025-01-10,Early
30,2,2023-10-24,356081,0,0,0,2024-01-17,Current
31,6,2025-12-14,250796,0,15,0,2022-11-02,Early
32,22,2025-12-15,193279,0,0,0,2022-05-30,Current
33,10,2025-06-30,246846,0,0,0,2024-12-27,Current
34,4,2025-01-01,214044,0,15,1,2025-01-30,Early
35,22,2022-08-04,454015,1,15,0,2025-03-01,Early
36,18,2025-10-21,252160,0,0,1,2022-08-06,Current
37,12,2023-03-20,472132,1,0,1,2022-05-09,Current
38,2,2023-02-16,120463,0,0,1,2024-11-23,Current
39,10,2022-02-08,143500,0,0,0,2024-06-29,Current
40,4,2023-07-02,257772,0,0,0,2025-04-09,Current
41,14,2024-12-20,87158,0,0,0,2025-04-15,Current
42,16,2022-01-29,134607,0,15,0,2022-01-10,Early
43,15,2025-01-07,431783,0,15,1,2023-05-30,Early
44,8,2023-01-21,295017,0,0,1,2022-01-13,Current
45,14,2025-07-31,383840,0,0,0,2025-09-13,Current
46,23,2025-12-05,373654,0,0,0,2022-07-05,Current
47,25,2022-07-15,170076,0,0,0,2023-04-13,Current
48,8,2025-09-17,108692,0,60,0,2024-09-06,30-60
49,21,2025-03-30,180841,0,15,1,2022-12-18,Early
50,16,2025-10-10,242816,0,30,0,2025-11-25,Early
51,13,2025-01-06,327954,0,60,0,2023-05-29,30-60
52,18,2024-12-23,448342,0,0,0,2024-01-20,Current
53,15,2023-06-26,211081,1,0,1,2024-01-04,Current
54,21,2022-02-24,161718,0,15,0,2024-10-11,Early
55,24,2024-06-11,403076,0,0,1,2024-03-31,Current
56,25,2022-01-04,50192,0,15,1,2025-12-25,Early
57,13,2024-09-06,297536,1,30,0,2025-12-04,Early
58,9,2025-01-17,86413,0,30,0,2024-07-06,Early
59,15,2023-04-09,193888,1,0,0,2023-07-27,Current
60,13,2024-02-06,89082,0,0,0,2025-07-10,Current
61,1,2022-06-27,377192,0,15,1,2025-03-11,Early
62,25,2023-10-30,173130,1,30,0,2023-05-08,Early
63,7,2022-05-10,100940,0,30,0,2022-09-02,Early
64,9,2024-07-27,213202,0,120,0,2025-03-23,90+
65,24,2022-10-13,90142,1,0,0,2025-01-26,Current
