associate_id,associate_name,region,experience_years
1,Associate_1,East,14
2,Associate_2,West,6
3,Associate_3,North,2
4,Associate_4,East,12
5,Associate_5,East,5
6,Associate_6,West,1
7,Associate_7,North,12
8,Associate_8,North,10
9,Associate_9,East,6
10,Associate_10,South,13
11,Associate_11,East,12
12,Associate_12,East,9
13,Associate_13,East,1
14,Associate_14,East,11
15,Associate_15,West,11
16,Associate_16,North,10
17,Associate_17,West,12
18,Associate_18,West,12
19,Associate_19,West,14
20,Associate_20,East,14
21,Associate_21,South,14
22,Associate_22,North,3
23,Associate_23,South,12
24,Associate_24,West,7
25,Associate_25,West,4
